Name,Year,Team,Age,Pos.,G,GS,IP,BAFZ,RF9,ofAss,F12 A,F12 N,F12 %,F23 A,F23 N,F23 %,F34 A,F34 N,F34 %,H13 A,H13 N,H13 %,H24 A,H24 N,H24 %,D14 A,D14 N,D14 %,Range RAA,Arm RAA,Err RAA,Total RAA,/144
서건창,2023,LG,34,2B,35,25,237.0,0.0,4.33,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-1.65,,-1.62,-4.59,-15.03
서건창,2024,KIA,35,1B,18,9,101.0,0.0,7.93,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-1.45,,0.24,-1.22,-5.01
서건창,2024,KIA,35,2B,17,7,73.2,0.0,4.64,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.18,,0.27,0.3,1.25
류지혁,2022,KIA,28,1B,36,14,158.0,0.0,9.11,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.1,,0.12,2.52,2.86
류지혁,2022,KIA,28,2B,2,0,7.0,,12.86,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.41,,0.01,0.42,0.48
류지혁,2022,KIA,28,3B,103,93,785.2,0.0,2.3,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-7.49,,-0.29,-8.05,-9.13
류지혁,2023,삼성,29,1B,26,20,176.0,,8.74,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.13,,0.4,0.32,0.35
류지혁,2023,삼성,29,2B,11,6,56.0,,4.98,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.65,,0.2,0.63,0.68
류지혁,2023,삼성,29,3B,44,35,288.0,0.0,2.19,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-1.26,,0.45,-1.15,-1.25
류지혁,2023,KIA,29,1B,5,2,18.0,,6.5,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.22,,0.04,-0.18,-0.19
류지혁,2023,KIA,29,2B,7,7,52.0,,5.02,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-1.88,,0.19,-1.97,-2.15
류지혁,2023,KIA,29,3B,55,48,402.2,0.0,2.46,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-4.67,,0.33,-5.44,-5.93
류지혁,2024,삼성,30,1B,4,1,10.0,,2.7,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.66,,0.02,-0.64,-3.82
류지혁,2024,삼성,30,2B,18,14,117.1,0.0,2.91,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.51,,0.44,0.94,5.67
류지혁,2024,삼성,30,3B,5,4,34.1,,2.62,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.43,,0.13,-0.82,-4.9
오재일,2022,삼성,36,1B,119,112,949.0,0.0,9.09,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-1.08,,0.71,-0.53,-0.56
오재일,2023,삼성,37,1B,88,80,700.0,0.0,9.12,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,9.54,,0.11,10.25,13.92
오재일,2024,삼성,38,1B,8,8,62.2,,9.19,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-1.17,,0.15,-1.02,-11.27
